Line - Token - Classification
156 - EquivalentTo: - EQUIVALENT
157 - Event - CLASS_NAME
158 - and - LOGICAL
158 - ( - LPAR
158 - participatedIn - PROPRIETY
158 - some - SOME
158 - Activity - CLASS_NAME
158 - ) - RPAR
159 - and - LOGICAL
159 - ( - LPAR
159 - participatedIn - PROPRIETY
159 - some - SOME
159 - Resource - CLASS_NAME
159 - ) - RPAR
160 - and - LOGICAL
160 - ( - LPAR
160 - participatedIn - PROPRIETY
160 - min - QUANTIFIER
160 - 1 - NUMBER
160 - DataCustomer - CLASS_NAME
160 - ) - RPAR
161 - and - LOGICAL
161 - ( - LPAR
161 - participatedIn - PROPRIETY
161 - min - QUANTIFIER
161 - 1 - NUMBER
161 - DataSupplier - CLASS_NAME
161 - ) - RPAR
162 - and - LOGICAL
162 - ( - LPAR
162 - participatedIn - PROPRIETY
162 - min - QUANTIFIER
162 - 2 - NUMBER
162 - Actor - CLASS_NAME
162 - ) - RPAR
163 - and - LOGICAL
163 - ( - LPAR
163 - composedBy - PROPRIETY
163 - exactly - QUANTIFIER
163 - 1 - NUMBER
163 - CounterpartContribution - CLASS_NAME
163 - ) - RPAR
164 - and - LOGICAL
164 - ( - LPAR
164 - composedBy - PROPRIETY
164 - exactly - QUANTIFIER
164 - 1 - NUMBER
164 - OfferedContribution - CLASS_NAME
164 - ) - RPAR
167 - Class: - CLASS
167 - DataOperation - CLASS_NAME
170 - SubClassOf: - SUBCLASS
171 - Activity - CLASS_NAME
171 - , - COMMA
172 - mediates - PROPRIETY
172 - some - SOME
172 - InvokeDataOperation - CLASS_NAME
172 - , - COMMA
173 - mediates - PROPRIETY
173 - only - ONLY
173 - InvokeDataOperation - CLASS_NAME
176 - Class: - CLASS
176 - DataSovereigntyAct - CLASS_NAME
179 - SubClassOf: - SUBCLASS
180 - Relator - CLASS_NAME
180 - , - COMMA
181 - mediates - PROPRIETY
181 - some - SOME
181 - Data - CLASS_NAME
181 - , - COMMA
182 - mediates - PROPRIETY
182 - some - SOME
182 - DataUsagePolicy - CLASS_NAME
182 - , - COMMA
183 - mediates - PROPRIETY
183 - min - QUANTIFIER
183 - 1 - NUMBER
183 - DataSupplier - CLASS_NAME
186 - Class: - CLASS
186 - DataSupplier - CLASS_NAME
